acmg	Gene.refGene	Gene MIM	Disease/Phentyope	Disorder MIM	Phenotype Category	Inheritance 	SF List Version	Variants to report
1	ACTA2	102620	Familial thoracic aortic aneurysm	611788	Cardiovascular	AD	1.0	All P and LP
1	ACTC1	102540	Hypertrophic cardiomyopathy	612098	Cardiovascular	AD	1.0	All P and LP
1	ACVRL1	601284	Hereditary hemorrhagic telangiectasia	600376	Miscellaneous	AD	3.0	All P and LP
1	APC	611731	Familial adenomatous polyposis	175100	Cancer	AD 	1.0	All P and LP
1	APOB	107730	Familial hypercholesterolemia	144010	Cardiovascular	AD	1.0	All P and LP
1	ATP7B	606882	Wilson disease	277900	Miscellaneous	AR	2.0	P and LP (2 variants)
1	BAG3	603883	Dilated cardiomyopathy	613881	Cardiovascular	AD	3.1	All P and LP
1	BAG3	603883	Myofibrillar myopathy	612954	Cardiovascular	AD	3.1	All P and LP
1	BMPR1A	601299	Juvenile polyposis syndrome	174900	Cancer	AD	1.0	All P and LP
1	BRCA1	113705	Hereditary breast and ovarian cancer	604370	Cancer	AD	1.0	All P and LP
1	BRCA2	600185	Hereditary breast and ovarian cancer	612555	Cancer	AD	1.0	All P and LP
1	BTD	609019	Biotinidase deficiency	253260	Metabolic	AR	3.0	P and LP (2 variants)
1	CACNA1S	114208	Malignant hyperthermia	601887	Miscellaneous	AD	1.0	All P and LP
1	CALM1	114180	Long-QT syndrome type 14	616247	Cardiovascular	AD	3.2	All P and LP
1	CALM1	114180	Catecholaminergic polymorphic ventricular tachycardia	614916	Cardiovascular	AD	3.2	All P and LP
1	CALM2	114182	Long-QT syndrome type 15	616249	Cardiovascular	AD	3.2	All P and LP
1	CALM2	114182	Catecholaminergic polymorphic ventricular tachycardia	616249	Cardiovascular	AD	3.2	All P and LP
1	CALM3	114183	Long-QT syndrome type 16	618782	Cardiovascular	AD	3.2	All P and LP
1	CALM3	114183	Catecholaminergic polymorphic ventricular tachycardia	618782	Cardiovascular	AD	3.2	All P and LP
1	CASQ2	114251	Catecholaminergic polymorphic ventricular tachycardia	611938	Cardiovascular	AR	3.0	P and LP (2 variants)
1	COL3A1	120180	Ehlers-Danlos syndrome, vascular type	130050	Cardiovascular	AD	1.0	All P and LP
1	DES	125660	Dliated cardiomyopathy	604765	Cardiovascular	AD	3.1	All P and LP
1	DES	125660	Myofibrillar myopathy	601419	Cardiovascular	AD	3.1	All P and LP
1	DSC2	125645	Arrhythmogenic right ventricular cardiomyopathy	610476	Cardiovascular	AD	1.0	All P and LP
1	DSG2	125671	Arrhythmogenic right ventricular cardiomyopathy	610193	Cardiovascular	AD	1.0	All P and LP
1	DSP	125647	Arrhythmogenic right ventricular cardiomyopathy	607450	Cardiovascular	AD	1.0	All P and LP
1	DSP	125647	Dilated cardiomyopathy	615821	Cardiovascular	AD	1.0	All P and LP
1	ENG	131195	Hereditary hemorrhagic telangiectasia	187300	Miscellaneous	AD	3.0	All P and LP
1	FBN1	134797	Marfan syndrome	154700	Cardiovascular	AD	1.0	All P and LP
1	FLNC	102565	Dilated cardiomyopathy	n/a	Cardiovascular	AD	3.0	All P and LP
1	FLNC	102565	Hypertrophic cardiomyopathy	617047	Cardiovascular	AD	3.0	All P and LP
1	FLNC	102565	Myofibrillar myopathy	609524	Cardiovascular	AD	3.0	All P and LP
1	GAA	606800	Pompe disease	232300	Metabolic	AR	3.0	P and LP (2 variants)
1	GLA	300644	Fabry disease	301500	"Cardiovascular
1	Metabolic"	XL	1.0	All hemi, het, homozygous P and LP
1	HFE	613609	Hereditary hemochromatosis (c.845G>A; p.C282Y homozygotes only)	235200	Miscellaneous	AR	3.0	p.C282Y homozygotes only
1	HNF1A	142410	Maturity-Onset of Diabetes of the Young	600496	Miscellaneous	AD	3.0	All P and LP
1	KCNH2	152427	Long-QT syndrome type 2	613688	Cardiovascular	AD	1.0	All P and LP
1	KCNQ1	607542	Long-QT syndrome type 1	192500	Cardiovascular	AD	1.0	All P and LP
1	LDLR	606945	Familial hypercholesterolemia	143890	Cardiovascular	AD	1.0	All P and LP
1	LMNA	150330	Dilated cardiomyopathy	115200	Cardiovascular	AD	1.0	All P and LP
1	MAX	154950	Hereditary paraganglioma-pheochromocytoma syndrome	171300	Cancer	AD	3.0	All P and LP
1	MEN1	613733	Multiple endocrine neoplasia type 1	131100	Cancer	AD	1.0	All P and LP
1	MLH1	120436	Lynch syndrome	609310	Cancer	AD	1.0	All P and LP
1	MSH2	609309	Lynch syndrome	120435	Cancer	AD	1.0	All P and LP
1	MSH6	600678	Lynch syndrome	614350	Cancer	AD	1.0	All P and LP
1	MUTYH	604933	MUTYH-associated polyposis	608456	Cancer	AR	1.0	P and LP (2 variants)
1	MYBPC3	600958	Hypertrophic cardiomyopathy	115197	Cardiovascular	AD	1.0	All P and LP
1	MYH11	160745	Familial thoracic aortic aneurysm	132900	Cardiovascular	AD	1.0	All P and LP
1	MYH7	160760	Hypertrophic cardiomyopathy	192600	Cardiovascular	AD	1.0	All P and LP
1	MYH7	160760	Dilated cardiomyopathy	613426	Cardiovascular	AD	1.0	All P and LP
1	MYL2	160781	Hypertrophic cardiomyopathy	608758	Cardiovascular	AD	1.0	All P and LP
1	MYL3	160790	Hypertrophic cardiomyopathy	608751	Cardiovascular	AD	1.0	All P and LP
1	NF2	607379	NF2-related schwannomatosis	101000	Cancer	AD	1.0	All P and LP
1	OTC	300461	Ornithine transcarbamylase deficiency	311250	Metabolic	XL	2.0	All hemi, het, homozygous P and LP
